"Category","Quantity"
"A/I",62571970042.884254
"A/II",845971956.7544621
"B/I",108988230.72524966
"B/II",1646734920.5414727
"B/III",424123781.16482514
"C/I",25337937131.07258
"C/II",402.63264275
"C/III",-10773.81553105
"E/I",1347621.56584212
"F",6994486246.6858835
